City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,maceio,-9.6658,-35.7353,22.69,94,20,2.06,BR,1731298761
84,karratha,-20.7377,116.8463,34.74,30,40,7.52,AU,1731298762
85,kourou,5.1552,-52.6478,25.53,89,100,2.42,GF,1731298595
86,xiuyan,40.2928,123.2744,12.91,28,83,1.2,CN,1731298766
87,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,93,100,5.0,RU,1731298570
88,rongelap,11.1635,166.8941,28.27,77,1,8.15,MH,1731298768
89,ceerigaabo,10.6162,47.368,15.75,52,77,2.88,SO,1731298770
90,agadez,19.75,10.25,16.22,29,1,3.34,NE,1731298771
91,kingston,17.997,-76.7936,25.09,94,19,1.4,JM,1731298115
92,zabaykal'sk,49.6333,117.3167,0.1,56,34,5.87,RU,1731298773
93,trail,49.0998,-117.7022,5.93,99,100,0.86,CA,1731298774
94,laguna,38.421,-121.4238,14.41,63,0,2.06,US,1731298663
95,colonia,50.9333,6.95,10.07,92,100,0.51,DE,1731298517
96,dzagam,40.9033,45.8856,7.72,71,100,1.11,AZ,1731298778
97,edinburgh of the seven seas,-37.0676,-12.3116,16.02,88,92,16.24,SH,1731298779
98,kristiansund,63.1115,7.732,7.29,75,100,3.09,NO,1731298780
99,punta arenas,-53.15,-70.9167,4.06,75,40,1.54,CL,1731298510
100,novodvinsk,64.4165,40.8122,1.86,91,100,3.06,RU,1731298784
101,georgetown,5.4112,100.3354,31.96,70,20,2.68,MY,1731298500
102,west island,-12.1568,96.8225,28.99,74,20,8.75,CC,1731298547
103,kimbe,-5.5502,150.1429,30.94,65,44,2.07,PG,1731298787
104,iqaluit,63.7506,-68.5145,-3.15,63,100,5.14,CA,1731298789
105,kruisfontein,-34.0033,24.7314,13.21,84,54,1.65,ZA,1731298790
106,zakynthos,37.7914,20.8953,12.81,91,100,7.54,GR,1731298792
107,dzuunmod,48.2199,97.3744,-2.37,49,36,4.73,MN,1731298793
108,taoudenni,22.6783,-3.9836,22.75,18,36,3.44,ML,1731298794
109,invercargill,-46.4,168.35,13.34,65,27,7.15,NZ,1731298796
110,udachny,66.4167,112.4,-13.71,94,100,2.1,RU,1731298797
111,isangel,-19.55,169.2667,27.06,78,75,2.57,VU,1731298798
112,bintulu,3.1667,113.0333,30.23,79,40,1.54,MY,1731298799
113,remire-montjoly,4.9167,-52.2667,25.02,100,100,1.03,GF,1731298800
114,horta,38.5333,-28.6333,20.57,88,29,8.05,PT,1731298802
115,palmer,42.1584,-72.3287,9.62,77,100,2.06,US,1731298803
116,piti village,13.4626,144.6933,30.03,89,100,6.36,GU,1731298804
117,qamdo,31.1667,97.2333,5.87,34,0,3.24,CN,1731298805
118,fort bragg,35.139,-79.006,17.11,92,100,2.06,US,1731298806
119,gravatai,-29.9444,-50.9919,21.21,85,0,0.98,BR,1731298807
120,bredasdorp,-34.5322,20.0403,13.64,89,33,1.8,ZA,1731298809
121,porto novo,6.4965,2.6036,24.85,87,65,1.16,BJ,1731298651
122,bilibino,68.0546,166.4372,-24.02,100,96,1.23,RU,1731298572
123,nantucket,41.2835,-70.0995,14.52,88,75,10.65,US,1731298730
124,shannon,52.7039,-8.8642,4.0,100,100,0.51,IE,1731298813
125,ushuaia,-54.8,-68.3,4.81,75,75,7.2,AR,1731298743
126,bokoro,12.3807,17.0568,22.84,27,92,3.94,TD,1731298816
127,jalai nur,49.45,117.7,0.4,44,52,3.88,CN,1731298817
128,yuzhno-kurilsk,44.0306,145.8556,8.25,62,69,9.59,RU,1731298818
129,bismarck,46.8083,-100.7837,4.8,73,100,7.2,US,1731298800
130,marquelia,16.5833,-98.8167,25.96,84,16,1.71,MX,1731298821
131,bandar-e lengeh,26.5579,54.8807,24.06,69,10,2.06,IR,1731298822
